M R T rho P L hydrogen tritium carbonium nitrum oxygen
0.0043053 0.03448 1.543e+07 1.428e+02 2.219e+17 0.03681 0.36898 9.80e-06 2.20e-05 5.68e-03 9.71e-03
0.0051761 0.03675 1.538e+07 1.411e+02 2.196e+17 0.04389 0.37362 1.02e-05 2.18e-05 5.65e-03 9.74e-03
0.0062230 0.03918 1.531e+07 1.393e+02 2.171e+17 0.05229 0.37881 1.07e-05 2.15e-05 5.63e-03 9.76e-03
0.0074817 0.04179 1.525e+07 1.373e+02 2.142e+17 0.06221 0.38461 1.13e-05 2.12e-05 5.60e-03 9.79e-03
0.0089950 0.04459 1.517e+07 1.350e+02 2.110e+17 0.07391 0.39107 1.19e-05 2.09e-05 5.57e-03 9.81e-03
0.0108143 0.04759 1.509e+07 1.325e+02 2.074e+17 0.08769 0.39827 1.27e-05 2.05e-05 5.54e-03 9.84e-03
0.0130017 0.05083 1.499e+07 1.298e+02 2.034e+17 0.10385 0.40626 1.36e-05 2.02e-05 5.51e-03 9.86e-03
0.0156315 0.05431 1.488e+07 1.268e+02 1.990e+17 0.12275 0.41512 1.47e-05 1.98e-05 5.47e-03 9.88e-03
0.0184988 0.05773 1.477e+07 1.239e+02 1.946e+17 0.14275 0.42403 1.59e-05 1.94e-05 5.45e-03 9.90e-03
0.0214547 0.06095 1.466e+07 1.210e+02 1.903e+17 0.16274 0.43255 1.71e-05 1.90e-05 5.42e-03 9.92e-03
0.0245004 0.06401 1.456e+07 1.184e+02 1.862e+17 0.18274 0.44075 1.84e-05 1.86e-05 5.40e-03 9.93e-03
0.0276376 0.06695 1.445e+07 1.158e+02 1.823e+17 0.20274 0.44868 1.97e-05 1.83e-05 5.38e-03 9.94e-03
0.0308689 0.06978 1.435e+07 1.133e+02 1.784e+17 0.22273 0.45637 2.10e-05 1.80e-05 5.36e-03 9.94e-03
0.0341969 0.07253 1.425e+07 1.109e+02 1.746e+17 0.24273 0.46385 2.25e-05 1.77e-05 5.35e-03 9.95e-03
0.0376252 0.07522 1.415e+07 1.086e+02 1.709e+17 0.26273 0.47114 2.39e-05 1.74e-05 5.34e-03 9.95e-03
0.0411573 0.07786 1.405e+07 1.064e+02 1.673e+17 0.28272 0.47827 2.55e-05 1.71e-05 5.33e-03 9.95e-03
0.0447976 0.08045 1.395e+07 1.042e+02 1.637e+17 0.30272 0.48526 2.72e-05 1.68e-05 5.32e-03 9.95e-03
0.0485508 0.08301 1.386e+07 1.020e+02 1.602e+17 0.32272 0.49211 2.89e-05 1.66e-05 5.31e-03 9.95e-03
0.0524222 0.08554 1.376e+07 9.992e+01 1.567e+17 0.34272 0.49884 3.07e-05 1.63e-05 5.30e-03 9.95e-03
0.0564176 0.08806 1.366e+07 9.786e+01 1.533e+17 0.36272 0.50546 3.27e-05 1.60e-05 5.29e-03 9.95e-03
0.0605437 0.09057 1.356e+07 9.583e+01 1.499e+17 0.38272 0.51198 3.47e-05 1.58e-05 5.28e-03 9.95e-03
0.0648076 0.09308 1.346e+07 9.384e+01 1.465e+17 0.40272 0.51841 3.69e-05 1.55e-05 5.27e-03 9.94e-03
0.0692173 0.09558 1.336e+07 9.187e+01 1.432e+17 0.42273 0.52475 3.93e-05 1.53e-05 5.27e-03 9.94e-03
0.0737818 0.09810 1.326e+07 8.993e+01 1.399e+17 0.44273 0.53102 4.18e-05 1.50e-05 5.26e-03 9.93e-03
0.0785111 0.10063 1.316e+07 8.801e+01 1.366e+17 0.46274 0.53721 4.45e-05 1.47e-05 5.26e-03 9.93e-03
0.0834163 0.10317 1.306e+07 8.611e+01 1.333e+17 0.48274 0.54334 4.74e-05 1.45e-05 5.25e-03 9.92e-03
0.0885098 0.10575 1.296e+07 8.421e+01 1.300e+17 0.50275 0.54941 5.05e-05 1.42e-05 5.25e-03 9.92e-03
0.0938057 0.10835 1.285e+07 8.233e+01 1.267e+17 0.52276 0.55542 5.38e-05 1.40e-05 5.24e-03 9.91e-03
0.0993198 0.11100 1.274e+07 8.046e+01 1.234e+17 0.54277 0.56139 5.75e-05 1.37e-05 5.24e-03 9.91e-03
0.1050700 0.11369 1.264e+07 7.859e+01 1.201e+17 0.56278 0.56731 6.14e-05 1.34e-05 5.23e-03 9.90e-03
0.1110766 0.11643 1.252e+07 7.672e+01 1.168e+17 0.58279 0.57318 6.57e-05 1.32e-05 5.23e-03 9.89e-03
0.1173629 0.11924 1.241e+07 7.485e+01 1.134e+17 0.60280 0.57903 7.05e-05 1.29e-05 5.22e-03 9.88e-03
0.1239559 0.12212 1.230e+07 7.297e+01 1.101e+17 0.62281 0.58484 7.57e-05 1.26e-05 5.22e-03 9.88e-03
0.1308866 0.12508 1.218e+07 7.107e+01 1.067e+17 0.64282 0.59062 8.15e-05 1.23e-05 5.22e-03 9.87e-03
0.1381912 0.12813 1.206e+07 6.916e+01 1.033e+17 0.66283 0.59639 8.79e-05 1.21e-05 5.21e-03 9.86e-03
0.1459126 0.13129 1.193e+07 6.723e+01 9.981e+16 0.68285 0.60213 9.51e-05 1.19e-05 5.21e-03 9.85e-03
0.1541014 0.13457 1.180e+07 6.528e+01 9.629e+16 0.70286 0.60787 1.03e-04 1.25e-05 5.20e-03 9.85e-03
0.1628178 0.13800 1.166e+07 6.329e+01 9.270e+16 0.72287 0.61359 1.12e-04 1.63e-05 5.19e-03 9.84e-03
0.1721340 0.14160 1.152e+07 6.125e+01 8.905e+16 0.74288 0.61932 1.23e-04 3.07e-05 5.16e-03 9.83e-03
0.1821368 0.14539 1.138e+07 5.917e+01 8.531e+16 0.76289 0.62505 1.35e-04 7.26e-05 5.09e-03 9.82e-03
0.1929325 0.14941 1.122e+07 5.703e+01 8.147e+16 0.78290 0.63079 1.49e-04 1.72e-04 4.92e-03 9.81e-03
0.2046556 0.15369 1.106e+07 5.482e+01 7.751e+16 0.80290 0.63655 1.66e-04 3.64e-04 4.60e-03 9.80e-03
0.2174846 0.15831 1.089e+07 5.252e+01 7.342e+16 0.82290 0.64236 1.86e-04 6.76e-04 4.08e-03 9.79e-03
0.2316673 0.16333 1.070e+07 5.011e+01 6.915e+16 0.84291 0.64821 2.11e-04 1.11e-03 3.39e-03 9.78e-03
0.2475583 0.16887 1.050e+07 4.755e+01 6.467e+16 0.86291 0.65414 2.42e-04 1.62e-03 2.63e-03 9.77e-03
0.2656766 0.17510 1.027e+07 4.481e+01 5.991e+16 0.88291 0.66016 2.83e-04 2.14e-03 1.95e-03 9.75e-03
0.2868060 0.18229 1.002e+07 4.181e+01 5.478e+16 0.90291 0.66628 3.39e-04 2.62e-03 1.47e-03 9.74e-03
0.3084767 0.18958 9.775e+06 3.894e+01 4.995e+16 0.92021 0.67169 4.06e-04 2.95e-03 1.23e-03 9.73e-03
0.3299399 0.19677 9.537e+06 3.627e+01 4.554e+16 0.93462 0.67630 4.86e-04 3.15e-03 1.14e-03 9.71e-03
0.3511462 0.20386 9.309e+06 3.379e+01 4.152e+16 0.94659 0.68025 5.80e-04 3.27e-03 1.10e-03 9.70e-03
0.3720535 0.21087 9.090e+06 3.148e+01 3.785e+16 0.95652 0.68362 6.91e-04 3.34e-03 1.08e-03 9.69e-03
0.3926264 0.21779 8.879e+06 2.933e+01 3.451e+16 0.96473 0.68651 8.21e-04 3.38e-03 1.07e-03 9.68e-03
0.4128348 0.22464 8.677e+06 2.732e+01 3.147e+16 0.97152 0.68897 9.76e-04 3.41e-03 1.07e-03 9.67e-03
0.4326538 0.23143 8.483e+06 2.545e+01 2.869e+16 0.97712 0.69107 1.16e-03 3.42e-03 1.07e-03 9.66e-03
0.4520632 0.23817 8.296e+06 2.370e+01 2.616e+16 0.98174 0.69287 1.37e-03 3.42e-03 1.07e-03 9.65e-03
0.4710467 0.24485 8.116e+06 2.207e+01 2.385e+16 0.98556 0.69441 1.63e-03 3.42e-03 1.06e-03 9.64e-03
0.4895915 0.25149 7.942e+06 2.055e+01 2.175e+16 0.98872 0.69571 1.94e-03 3.42e-03 1.06e-03 9.63e-03
0.5076881 0.25810 7.775e+06 1.913e+01 1.983e+16 0.99132 0.69681 2.29e-03 3.42e-03 1.06e-03 9.62e-03
0.5253297 0.26467 7.613e+06 1.780e+01 1.808e+16 0.99346 0.69774 2.67e-03 3.42e-03 1.06e-03 9.61e-03
0.5425117 0.27122 7.456e+06 1.657e+01 1.649e+16 0.99516 0.69855 2.99e-03 3.42e-03 1.06e-03 9.61e-03
0.5592320 0.27774 7.305e+06 1.542e+01 1.503e+16 0.99644 0.69930 3.12e-03 3.42e-03 1.06e-03 9.60e-03
0.5754902 0.28424 7.158e+06 1.434e+01 1.371e+16 0.99738 0.70003 3.09e-03 3.41e-03 1.06e-03 9.59e-03
0.5912877 0.29073 7.016e+06 1.334e+01 1.250e+16 0.99804 0.70072 2.89e-03 3.41e-03 1.06e-03 9.58e-03
0.6066275 0.29722 6.879e+06 1.240e+01 1.140e+16 0.99851 0.70138 2.61e-03 3.41e-03 1.06e-03 9.57e-03
0.6215135 0.30370 6.745e+06 1.153e+01 1.039e+16 0.99886 0.70201 2.29e-03 3.41e-03 1.06e-03 9.57e-03
0.6359508 0.31017 6.615e+06 1.072e+01 9.477e+15 0.99912 0.70259 1.98e-03 3.41e-03 1.06e-03 9.56e-03
0.6499456 0.31665 6.489e+06 9.958e+00 8.641e+15 0.99933 0.70312 1.71e-03 3.40e-03 1.05e-03 9.55e-03
0.6635045 0.32313 6.367e+06 9.253e+00 7.879e+15 0.99949 0.70361 1.46e-03 3.40e-03 1.05e-03 9.55e-03
0.6766349 0.32963 6.247e+06 8.597e+00 7.185e+15 0.99962 0.70406 1.26e-03 3.40e-03 1.05e-03 9.54e-03
0.6893446 0.33613 6.131e+06 7.987e+00 6.551e+15 0.99972 0.70446 1.08e-03 3.40e-03 1.05e-03 9.54e-03
0.7016419 0.34264 6.018e+06 7.418e+00 5.974e+15 0.99980 0.70484 9.24e-04 3.40e-03 1.05e-03 9.53e-03
0.7135354 0.34917 5.907e+06 6.890e+00 5.447e+15 0.99986 0.70519 7.96e-04 3.39e-03 1.05e-03 9.53e-03
0.7250339 0.35572 5.800e+06 6.398e+00 4.967e+15 0.99991 0.70552 6.87e-04 3.39e-03 1.05e-03 9.52e-03
0.7361465 0.36229 5.694e+06 5.941e+00 4.529e+15 0.99995 0.70582 5.95e-04 3.39e-03 1.05e-03 9.52e-03
0.7468824 0.36888 5.592e+06 5.516e+00 4.130e+15 0.99998 0.70611 5.17e-04 3.39e-03 1.05e-03 9.51e-03
0.7572509 0.37550 5.491e+06 5.121e+00 3.766e+15 1.00001 0.70639 4.51e-04 3.38e-03 1.05e-03 9.51e-03
0.7672614 0.38214 5.393e+06 4.754e+00 3.434e+15 1.00003 0.70665 3.96e-04 3.38e-03 1.05e-03 9.50e-03
0.7769232 0.38880 5.297e+06 4.413e+00 3.132e+15 1.00004 0.70690 3.49e-04 3.38e-03 1.05e-03 9.50e-03
0.7862457 0.39550 5.203e+06 4.097e+00 2.856e+15 1.00005 0.70714 3.10e-04 3.38e-03 1.05e-03 9.49e-03
0.7952382 0.40223 5.111e+06 3.802e+00 2.604e+15 1.00006 0.70737 2.76e-04 3.38e-03 1.05e-03 9.49e-03
0.8039099 0.40899 5.021e+06 3.529e+00 2.374e+15 1.00006 0.70759 2.48e-04 3.38e-03 1.05e-03 9.48e-03
0.8122699 0.41578 4.933e+06 3.275e+00 2.165e+15 1.00007 0.70781 2.25e-04 3.38e-03 1.05e-03 9.48e-03
0.8203274 0.42261 4.847e+06 3.039e+00 1.974e+15 1.00007 0.70803 2.05e-04 3.37e-03 1.05e-03 9.48e-03
0.8280912 0.42947 4.762e+06 2.820e+00 1.800e+15 1.00007 0.70824 1.88e-04 3.37e-03 1.05e-03 9.47e-03
0.8355701 0.43637 4.679e+06 2.617e+00 1.642e+15 1.00007 0.70845 1.74e-04 3.37e-03 1.05e-03 9.47e-03
0.8427728 0.44330 4.597e+06 2.429e+00 1.497e+15 1.00007 0.70865 1.62e-04 3.37e-03 1.04e-03 9.45e-03
0.8497076 0.45028 4.517e+06 2.254e+00 1.365e+15 1.00007 0.70886 1.52e-04 3.37e-03 1.04e-03 9.46e-03
0.8563830 0.45729 4.438e+06 2.091e+00 1.245e+15 1.00007 0.70905 1.43e-04 3.37e-03 1.04e-03 9.45e-03
0.8628070 0.46435 4.361e+06 1.940e+00 1.135e+15 1.00006 0.70925 1.36e-04 3.36e-03 1.04e-03 9.45e-03
0.8689876 0.47144 4.285e+06 1.800e+00 1.035e+15 1.00006 0.70944 1.31e-04 3.36e-03 1.04e-03 9.45e-03
0.8749326 0.47858 4.210e+06 1.671e+00 9.438e+14 1.00006 0.70964 1.25e-04 3.36e-03 1.04e-03 9.44e-03
0.8806497 0.48576 4.137e+06 1.550e+00 8.607e+14 1.00006 0.70983 1.21e-04 3.36e-03 1.04e-03 9.44e-03
0.8861461 0.49298 4.064e+06 1.439e+00 7.848e+14 1.00005 0.71002 1.18e-04 3.36e-03 1.04e-03 9.44e-03
0.8914292 0.50024 3.993e+06 1.335e+00 7.157e+14 1.00005 0.71021 1.15e-04 3.35e-03 1.04e-03 9.43e-03
0.8965060 0.50754 3.923e+06 1.239e+00 6.526e+14 1.00005 0.71041 1.12e-04 3.36e-03 1.04e-03 9.43e-03
0.9013833 0.51489 3.854e+06 1.150e+00 5.951e+14 1.00005 0.71060 1.10e-04 3.36e-03 1.04e-03 9.42e-03
0.9060679 0.52227 3.786e+06 1.067e+00 5.427e+14 1.00004 0.71079 1.08e-04 3.35e-03 1.04e-03 9.42e-03
0.9105661 0.52970 3.719e+06 9.904e-01 4.949e+14 1.00004 0.71098 1.07e-04 3.35e-03 1.04e-03 9.42e-03
0.9148844 0.53717 3.653e+06 9.193e-01 4.513e+14 1.00004 0.71117 1.06e-04 3.35e-03 1.04e-03 9.41e-03
0.9190288 0.54468 3.588e+06 8.534e-01 4.115e+14 1.00004 0.71136 1.05e-04 3.35e-03 1.04e-03 9.41e-03
0.9230053 0.55223 3.523e+06 7.923e-01 3.752e+14 1.00004 0.71154 1.04e-04 3.35e-03 1.04e-03 9.41e-03
0.9268196 0.55983 3.459e+06 7.357e-01 3.422e+14 1.00003 0.71172 1.03e-04 3.35e-03 1.04e-03 9.41e-03
0.9304774 0.56745 3.396e+06 6.832e-01 3.120e+14 1.00003 0.71188 1.03e-04 3.35e-03 1.04e-03 9.41e-03
0.9339841 0.57512 3.334e+06 6.346e-01 2.845e+14 1.00003 0.71204 1.02e-04 3.35e-03 1.04e-03 9.41e-03
0.9373449 0.58282 3.272e+06 5.895e-01 2.595e+14 1.00003 0.71218 1.02e-04 3.35e-03 1.04e-03 9.41e-03
0.9405650 0.59055 3.211e+06 5.477e-01 2.366e+14 1.00003 0.71231 1.01e-04 3.35e-03 1.04e-03 9.41e-03
0.9436491 0.59832 3.150e+06 5.091e-01 2.158e+14 1.00002 0.71241 1.00e-04 3.35e-03 1.04e-03 9.41e-03
0.9466022 0.60611 3.090e+06 4.733e-01 1.968e+14 1.00002 0.71249 1.00e-04 3.35e-03 1.04e-03 9.41e-03
0.9494288 0.61393 3.030e+06 4.401e-01 1.794e+14 1.00002 0.71257 1.00e-04 3.35e-03 1.04e-03 9.42e-03
0.9521333 0.62176 2.970e+06 4.094e-01 1.636e+14 1.00002 0.71266 1.00e-04 3.36e-03 1.04e-03 9.43e-03
0.9547200 0.62962 2.909e+06 3.810e-01 1.492e+14 1.00002 0.71279 1.00e-04 3.36e-03 1.04e-03 9.45e-03
0.9571931 0.63749 2.849e+06 3.548e-01 1.361e+14 1.00002 0.71301 1.00e-04 3.37e-03 1.05e-03 9.48e-03
0.9595565 0.64537 2.788e+06 3.305e-01 1.241e+14 1.00002 0.71347 1.00e-04 3.42e-03 1.06e-03 9.61e-03
0.9618142 0.65325 2.725e+06 3.081e-01 1.131e+14 1.00002 0.71426 1.00e-04 3.43e-03 1.06e-03 9.63e-03
0.9639697 0.66113 2.662e+06 2.874e-01 1.032e+14 1.00001 0.71543 1.00e-04 3.43e-03 1.06e-03 9.62e-03
0.9660267 0.66900 2.598e+06 2.683e-01 9.409e+13 1.00001 0.71704 1.00e-04 3.41e-03 1.06e-03 9.58e-03
0.9679886 0.67685 2.532e+06 2.506e-01 8.580e+13 1.00001 0.71912 1.00e-04 3.38e-03 1.05e-03 9.48e-03
0.9698587 0.68467 2.465e+06 2.343e-01 7.824e+13 1.00001 0.72165 1.00e-04 3.32e-03 1.03e-03 9.34e-03
0.9716379 0.69244 2.395e+06 2.194e-01 7.136e+13 1.00001 0.72461 1.00e-04 3.27e-03 1.01e-03 9.17e-03
0.9719883 0.69401 2.381e+06 2.165e-01 7.004e+13 1.00001 0.72526 1.00e-04 3.25e-03 1.01e-03 9.14e-03
0.9724120 0.69593 2.363e+06 2.131e-01 6.846e+13 1.00001 0.72609 1.00e-04 3.24e-03 1.01e-03 9.10e-03
0.9728306 0.69784 2.346e+06 2.098e-01 6.691e+13 1.00001 0.72695 1.00e-04 3.23e-03 1.00e-03 9.06e-03
0.9732441 0.69976 2.328e+06 2.065e-01 6.540e+13 1.00001 0.72784 1.00e-04 3.21e-03 9.95e-04 9.01e-03
0.9736525 0.70166 2.309e+06 2.033e-01 6.393e+13 1.00001 0.72876 1.00e-04 3.19e-03 9.90e-04 8.96e-03
0.9740558 0.70356 2.291e+06 2.001e-01 6.248e+13 1.00001 0.72971 1.00e-04 3.17e-03 9.84e-04 8.91e-03
0.9744542 0.70546 2.272e+06 1.971e-01 6.107e+13 1.00001 0.73069 1.00e-04 3.15e-03 9.78e-04 8.86e-03
0.9748476 0.70735 2.253e+06 1.941e-01 5.969e+13 1.00001 0.73170 1.00e-04 3.14e-03 9.73e-04 8.81e-03
0.9752361 0.70924 2.234e+06 1.912e-01 5.885e+13 1.00001 0.73277 1.00e-04 3.12e-03 9.67e-04 8.76e-03
0.9756198 0.71112 2.214e+06 1.884e-01 5.703e+13 1.00001 0.73388 1.00e-04 3.10e-03 9.60e-04 8.69e-03
0.9759986 0.71300 2.194e+06 1.857e-01 5.574e+13 1.00001 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9763762 0.71489 2.174e+06 1.831e-01 5.447e+13 1.00001 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9767490 0.71676 2.155e+06 1.806e-01 5.323e+13 1.00001 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9771170 0.71864 2.135e+06 1.781e-01 5.202e+13 1.00001 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9774803 0.72050 2.116e+06 1.757e-01 5.083e+13 1.00001 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9778388 0.72235 2.096e+06 1.733e-01 4.967e+13 1.00001 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9781926 0.72420 2.077e+06 1.709e-01 4.854e+13 1.00001 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9785417 0.72603 2.058e+06 1.685e-01 4.744e+13 1.00001 0.73507 1.00e-04 3.08e-08 9.57e-04 8.66e-03
0.9788863 0.72786 2.040e+06 1.662e-01 4.636e+13 1.00001 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9792262 0.72968 2.021e+06 1.639e-01 4.530e+13 1.00001 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9795615 0.73150 2.003e+06 1.617e-01 4.427e+13 1.00001 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9808579 0.73866 1.931e+06 1.530e-01 4.037e+13 1.00001 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9820847 0.74569 1.861e+06 1.448e-01 3.681e+13 1.00001 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9832446 0.75258 1.794e+06 1.370e-01 3.357e+13 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9843401 0.75934 1.730e+06 1.296e-01 3.062e+13 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9853737 0.76596 1.668e+06 1.226e-01 2.792e+13 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9863482 0.77244 1.608e+06 1.160e-01 2.546e+13 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9872659 0.77879 1.550e+06 1.098e-01 2.322e+13 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9881294 0.78500 1.494e+06 1.039e-01 2.117e+13 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9889413 0.79108 1.440e+06 9.833e-02 1.931e+13 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9897038 0.79701 1.389e+06 9.305e-02 1.761e+13 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9904195 0.80282 1.339e+06 8.806e-02 1.606e+13 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9910905 0.80849 1.290e+06 8.333e-02 1.465e+13 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9917193 0.81402 1.244e+06 7.885e-02 1.336e+13 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9923079 0.81943 1.199e+06 7.462e-02 1.218e+13 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9928586 0.82470 1.156e+06 7.061e-02 1.111e+13 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9933733 0.82984 1.115e+06 6.682e-02 1.013e+13 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9938541 0.83486 1.074e+06 6.322e-02 9.239e+12 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9943029 0.83974 1.036e+06 5.983e-02 8.425e+12 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9947215 0.84451 9.984e+05 5.661e-02 7.684e+12 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9951116 0.84915 9.624e+05 5.356e-02 7.007e+12 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9954751 0.85367 9.277e+05 5.068e-02 6.390e+12 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9958134 0.85807 8.943e+05 4.795e-02 5.828e+12 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9961282 0.86235 8.620e+05 4.537e-02 5.315e+12 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9964208 0.86652 8.309e+05 4.293e-02 4.847e+12 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9986927 0.87058 8.010e+05 4.062e-02 4.420e+12 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9969452 0.87452 7.721e+05 3.843e-02 4.031e+12 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9971795 0.87835 7.442e+05 3.636e-02 3.677e+12 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9973969 0.88208 7.174e+05 3.440e-02 3.853e+12 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9975984 0.88570 6.915e+05 3.255e-02 3.058e+12 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9977851 0.88922 6.666e+05 3.080e-02 2.789e+12 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9979581 0.89263 6.426e+05 2.914e-02 2.543e+12 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
0.9981181 0.89595 6.194e+05 2.757e-02 2.319e+12 1.00000 0.73507 1.00e-04 3.08e-03 9.57e-04 8.66e-03
